Segment: 79 | Count: 500 | Total Reward: 151.67 | Count Reward Weak: 74 | Count Reward Moderate: 75 | Count Reward Strong: 77
Segment: 80 | Count: 500 | Total Reward: 173.38 | Count Reward Weak: 77 | Count Reward Moderate: 91 | Count Reward Strong: 87
Segment: 81 | Count: 500 | Total Reward: 153.6 | Count Reward Weak: 89 | Count Reward Moderate: 69 | Count Reward Strong: 78
Segment: 82 | Count: 500 | Total Reward: 163.96 | Count Reward Weak: 91 | Count Reward Moderate: 79 | Count Reward Strong: 81
Segment: 83 | Count: 500 | Total Reward: 153.65 | Count Reward Weak: 75 | Count Reward Moderate: 70 | Count Reward Strong: 82
Segment: 84 | Count: 500 | Total Reward: 149.96 | Count Reward Weak: 80 | Count Reward Moderate: 68 | Count Reward Strong: 78
Segment: 85 | Count: 500 | Total Reward: 159.96 | Count Reward Weak: 88 | Count Reward Moderate: 76 | Count Reward Strong: 80
Segment: 86 | Count: 500 | Total Reward: 147.06 | Count Reward Weak: 72 | Count Reward Moderate: 90 | Count Reward Strong: 63
Segment: 87 | Count: 500 | Total Reward: 159.66 | Count Reward Weak: 82 | Count Reward Moderate: 80 | Count Reward Strong: 79
Segment: 88 | Count: 500 | Total Reward: 173.03 | Count Reward Weak: 74 | Count Reward Moderate: 83 | Count Reward Strong: 93
Segment: 89 | Count: 500 | Total Reward: 159.56 | Count Reward Weak: 98 | Count Reward Moderate: 66 | Count Reward Strong: 83
Segment: 90 | Count: 500 | Total Reward: 171.38 | Count Reward Weak: 75 | Count Reward Moderate: 89 | Count Reward Strong: 87
Segment: 91 | Count: 500 | Total Reward: 161.3 | Count Reward Weak: 83 | Count Reward Moderate: 73 | Count Reward Strong: 85
Segment: 92 | Count: 500 | Total Reward: 151.67 | Count Reward Weak: 75 | Count Reward Moderate: 76 | Count Reward Strong: 76
Segment: 93 | Count: 500 | Total Reward: 115.3 | Count Reward Weak: 56 | Count Reward Moderate: 46 | Count Reward Strong: 66
Segment: 94 | Count: 500 | Total Reward: 115.96 | Count Reward Weak: 54 | Count Reward Moderate: 42 | Count Reward Strong: 70
Segment: 95 | Count: 500 | Total Reward: 148.76 | Count Reward Weak: 57 | Count Reward Moderate: 85 | Count Reward Strong: 73
Segment: 96 | Count: 500 | Total Reward: 167.35 | Count Reward Weak: 81 | Count Reward Moderate: 86 | Count Reward Strong: 83
Segment: 97 | Count: 500 | Total Reward: 159.66 | Count Reward Weak: 81 | Count Reward Moderate: 79 | Count Reward Strong: 80
Segment: 98 | Count: 500 | Total Reward: 162.93 | Count Reward Weak: 94 | Count Reward Moderate: 73 | Count Reward Strong: 83
Segment: 99 | Count: 500 | Total Reward: 160.63 | Count Reward Weak: 90 | Count Reward Moderate: 79 | Count Reward Strong: 78
Segment: 100 | Count: 500 | Total Reward: 147.37 | Count Reward Weak: 61 | Count Reward Moderate: 72 | Count Reward Strong: 79
